"BOV minutes- March 27, 1998- Adoption of the Governor's Statement on Equal Employment Opportunity as University Policy",
"Former UJC subcommittee sets sexual assault policy, procedures",http://takeback.scholarslab.org/admin/items/show/610
"Board of Visitors- University Judiciary Committee Standards of Conduct Revised Dec. 3rd, 2000",
Cavalier Daily: Center Aids Sexual Assault Victims,http://takeback.scholarslab.org/admin/items/show/id/406
"BOV minutes- April 6, 2001- Revision to standards of conduct",
Cavalier Daily: Week to Raise Awareness of Sexual Assault,http://takeback.scholarslab.org/admin/items/show/id/387
"Resolutions adopted by the Board of Visitors July 11-12, 2003",
"Resolutions adopted by the Board of Visitors October 3-4, 2003- Mission Statement, Special Committee on Diversity",
Cavalier Daily: Sexual Assault Ed. Office Offers New Survey,http://takeback.scholarslab.org/admin/items/show/id/391
Cavalier Daily: Forum Debates Sexual Assault Policies,http://takeback.scholarslab.org/admin/items/show/id/375
Letter to the University Community,http://takeback.scholarslab.org/admin/items/show/id/420
Cavalier Daily: Statements Address U.Va. Sexual Assault Procedures,http://takeback.scholarslab.org/admin/items/show/id/392
Cavalier Daily: University Revises Sexual Assault Policy,http://takeback.scholarslab.org/admin/items/show/id/386
University Judiciary Committee Standards of Conduct (revised),
"Board of Visitors Approval of Revisions to Standards of Conduct- BOV Minutes March 2, 2005",
Cavalier Daily: U.Va. Adopts New Sexual Assault Policy,http://takeback.scholarslab.org/admin/items/show/id/371
"BOV minutes Sept. 30, 2005",
"BOV Minutes Feb. 9, 2007",
"BOV minutes April 13, 2007",
Cavalier Daily: Sexual Assault Support Network Launched,http://takeback.scholarslab.org/admin/items/show/id/389
"BOV minutes Sept. 15-16, 2011",
Cavalier Daily: Title IX Blurs Sexual Assault Jurisdiction,http://takeback.scholarslab.org/admin/items/show/id/366
Cavalier Daily: Obama Calls for Sexual Assault Task Force,http://takeback.scholarslab.org/admin/items/show/id/409
"BOV minutes Feb. 20-21, 2014- reporting of President Sullivan's remarks about the Cornerstone Plan and sexual assault advocacy",
"BOV minutes June 5-6, 2014- discussion of Student Council responses to new sexual assault advocacy programs",
Cavalier Daily: University Responds to Calls for Improved Sexual Assault Prevention,http://takeback.scholarslab.org/admin/items/show/id/372
